nationality,value
German,0.5
Swiss,0.5
Brazilian,1
Greek,1
Italian,1
Norwegian,1
Scottish,1
Spanish,1
Polish,1.5
Australian,2
Irish,2
South Korean,3
New Zealand,5
Taiwanese,5
Canadian,5.5
French,9
British,10
Mexican,14
English,15
American,105.5
