Action,6
Adventure,9
Comedy,19
Crime,12
Drama,80
Family,1
Fantasy,6
History,31
Horror,1
Music,8
Musical,4
Mystery,7
Romance,23
Sci-Fi,6
Sport,2
Thriller,17
War,9
Western,1
