nationality,value
German,0.5
Polish,0.5
Swiss,0.5
Brazilian,1
Greek,1
Italian,1
Norwegian,1
Scottish,1
South Korean,1
Spanish,1
Irish,1.5
New Zealand,3
Taiwanese,3
Australian,3.5
Canadian,3.5
French,5
British,6
Mexican,6
English,11
American,65.5
